x,y,z
12.550194,11.833275,11.455114
12.538385,11.724314,11.552227
12.65429,12.003412,11.47023
12.531459,11.559294,11.477665
13.991869,11.66948,10.167799
13.986549,11.731426,10.276763
14.050973,11.9467,10.31681
14.052151,11.750476,10.126635
13.955151,11.499493,10.291477
13.842309,11.77286,10.128235
14.15464,11.768894,10.26182
13.960026,11.498265,10.073558
13.531039,10.522367,13.942518
13.96515,11.589425,15.198832
13.931012,11.72792,15.267998
13.818744,11.851005,15.174658
14.048544,11.42452,15.256884
13.967739,11.379228,15.247176
13.8576975,11.827246,15.183098
13.786496,11.84815,15.499989
13.793806,11.755893,15.051358
13.865438,11.554087,15.151597
13.90088,11.769905,15.445538
13.899551,11.840959,15.302758
14.186765,11.765945,15.340164
13.695446,11.843112,15.448639
14.009882,11.797273,15.245625
13.924164,11.844929,15.408791
14.033129,11.566949,15.119683
14.228319,11.626371,15.2655115
13.715881,11.412285,15.4246435
14.142469,11.942394,15.259325
13.798038,11.513393,15.140385
13.857048,11.718398,15.43043
13.931861,11.576459,15.522059
13.763891,11.671645,15.46995
13.762835,11.580808,15.462328
14.24579,11.700045,15.259377
13.933206,11.85866,15.267714
13.859237,11.57421,15.1615305
14.124862,11.600494,15.267555
13.785479,11.684744,15.048298
14.001311,11.654671,15.354198
13.855235,11.4953165,15.422531
14.1678095,11.943343,15.057325
13.824321,11.556675,15.492465
13.865479,11.566898,15.706045
12.451741,11.719927,16.7704
12.443832,11.934994,16.6686
12.554442,11.326641,16.609774
12.505136,11.410902,16.76073
