index,xy,xyz
0,1.8190814853485817,1.8193318231532154
1,1.778350002214975,1.7793515629652847
2,1.8053008537761805,1.8055291451998239
3,1.8766603649890938,1.8801970821916512
4,1.6454672399935526,3.0563259665704834
5,1.678598708585231,3.1688411011977236
6,2.007400484112039,3.0732498998964024
7,1.9241401458490497,3.289886267121859
8,1.6069764792444838,2.8383593949966937
9,1.9840621371892553,3.2071182314153925
10,1.8764318314250044,3.0531664407735777
11,2.2140779093862064,2.5797646864603747
12,1.221948808622112,2.925923963827837
13,2.0272768943785158,4.335855186414439
14,2.3123350606458937,4.520604027449899
15,2.2944734860703884,4.321002084540577
16,2.140199886759411,4.34081033865625
17,2.103358956117571,4.30645335390783
18,2.482744272122333,4.62417035064467
19,2.14869932762055,4.499297626469936
20,2.265552779965632,4.259846832156528
21,2.099147575231432,4.235751879763971
22,2.2829404313947848,4.788657872653047
23,2.4477483227542,4.580725978091465
24,2.289634850605005,4.548110354328928
25,2.2860219939296287,4.492497340665991
26,2.2691537989005948,4.404267253637658
27,2.560683140450221,4.709833581708594
28,2.105701389861583,4.33914934704269
29,2.4258619698006334,4.473590461561638
30,2.061824252646185,4.220926831487636
31,2.4740912476180026,4.343706251814919
32,2.1303371498075134,4.130636350449046
33,2.129886959826743,4.62651217916056
34,2.200708086456266,4.607899696162451
35,1.9906248331890664,4.5863797353989355
36,1.9841374447331008,4.525705299286731
37,2.2647372186028543,4.220328540164378
38,2.3900899105751225,4.3151261952546935
39,2.16863107818965,4.278970690558917
40,2.236656361941413,4.325782797403609
41,2.161684670109403,4.284846948700385
42,2.0996688335975744,4.409691134003605
43,1.9985906486453149,4.387028796853458
44,2.652579223695167,4.566513969770542
45,2.0002309904133577,4.696498756365852
46,1.978332925849755,4.584133936746422
47,1.9874087745285314,5.692007500671269
48,2.1337388584569092,5.526273868028078
49,1.543233739818438,5.377028899482527
50,1.8969409975626543,5.74810847313775
