x,y,z
16.068308,12.191187,13.235853
15.850988,11.014179,11.351693
15.544805,11.132558,11.485193
13.979827,11.345264,12.859754
15.716621,11.217646,11.481223
15.749722,13.015154,14.438242
15.830296,13.1389675,14.3086405
15.555932,13.113318,14.309732
15.737465,12.910763,14.23935
15.797839,12.846713,14.286031
15.688213,13.1368065,14.518615
15.46609,13.142413,14.120899
15.921099,13.1494875,14.367906
15.530425,13.108106,14.312442
15.741829,13.148902,14.322945
15.51991,12.945734,14.064967
15.952791,13.1195135,14.090945
15.485753,13.16355,14.358587
15.650518,13.214195,14.386564
15.766479,12.831456,14.0107155
15.639912,13.389158,14.17372
15.760804,13.176702,14.366393
15.254207,13.046848,14.187453
15.720928,13.032805,14.552597
15.64931,13.287225,14.414737
15.479211,13.071627,14.19885
15.986147,13.145871,14.29472
15.482024,13.070575,14.379585
18.186594,12.185385,12.57783
17.362658,13.334704,12.704528
17.027325,13.383267,12.780566
17.286913,13.055828,12.815744
17.038498,12.962074,12.730359
19.929499,10.8843775,15.745768
20.190851,11.19416,15.961539
19.952911,11.0725565,15.614472
19.873623,11.273335,15.591628
19.8936,11.269617,15.61395
20.208998,11.115498,15.800724
20.05678,10.936226,15.714797
20.0457,11.083873,15.779445
20.065828,11.2530575,15.810914
20.005224,11.448649,15.745308
20.190226,11.138254,15.743667
19.963123,10.976418,15.364713
18.46726,12.340726,15.541946
19.6816,11.101104,15.610491
19.823076,11.242168,15.612523
19.740139,11.315126,15.502585
20.10069,11.032874,15.952895
18.772789,10.8201475,14.42689
