index,xy,xyz
0,1.9997311819404615,2.0391260971080833
1,1.7890533088586265,2.204418868446513
2,2.2106821164041195,2.7257040845376075
3,3.540750781844156,3.544547736951783
4,2.337857333578121,2.6442838954480665
5,1.912003023099075,1.9364019349856068
6,4.075906330632028,6.1498334265773815
7,2.4826124775441696,4.89396640205488
8,3.019542496412661,4.905946369431896
9,3.2895139838541505,5.330887049506489
10,2.5190816814576,5.084186964297856
11,2.291245582898743,5.029053926602599
12,2.6740734249614393,5.096906659149743
13,4.035927128785407,5.797608731695337
14,4.381210775888442,5.988278467519442
15,4.5117689574095,6.408941621287325
16,4.366491306668118,6.260705000245359
17,4.483822500352238,6.054382718324717
18,4.155818875479176,5.802481084890325
19,2.7951171444592444,5.314662146463898
20,2.115884719100973,4.86159949693113
21,2.2837872071561294,4.767917734970477
22,3.7536595248894113,5.956379553192779
23,2.4902622920680977,4.806382003534182
24,2.769325324871926,5.267451125326745
25,2.532941243633575,4.879492337180172
26,2.352965868259248,5.204633073998782
27,2.6975873184551418,4.825674144723304
28,3.422696716475037,6.776445562327938
29,1.9381664227098767,6.27202127979051
30,1.9649635805378178,6.4135031479266456
31,2.4352954031363425,6.683070028793802
32,2.6193162587684986,6.277531176742176
33,5.495699807289628,6.33224054948675
34,4.965209089924008,5.765860965481216
35,4.928103164296102,5.719806627769969
36,4.905508691516201,5.903728093153087
37,4.946874465149586,5.705157391391582
38,5.099920252642389,5.988684400147999
39,5.236212909422229,5.8545442314572185
40,7.521639629757662,7.680171235954963
41,7.725215075469759,7.81133465680899
42,7.299309058693499,7.416964747235487
43,7.457484371990665,7.63086206915608
44,6.9003395532362015,7.619517832263468
45,8.388666362389912,8.964705094900388
46,6.476330005586576,7.101739699503356
47,6.146148883986218,6.835792117085337
48,6.26873673648886,7.023758910414708
49,5.385556112795874,6.073396228602412
50,5.329648994337736,5.4347879748426475
